Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
David Lee,PF,19.0,0.58,0.0,0.33,10.58,23.75,17.16,12.79,1.3,1.45,13.6,20.19,3.66,2.0,5.64,0.15,1.11,0.05,1.14,1.42,63,36,26.99,5.09,9.54,0.54,0.0,0.02,0.03,5.09,9.51,0.55,0.54,2.26,2.96,0.76,2.47,5.76,8.19,2.05,0.68,0.42,1.65,2.52,12.48,Star
David West,PF-SF,18.01,0.54,0.02,0.27,7.41,19.13,13.29,14.05,1.47,2.54,12.65,21.99,2.97,2.73,5.73,0.14,0.67,0.89,1.54,1.84,69,49,27.8,5.39,10.91,0.5,0.06,0.2,0.27,5.32,10.73,0.5,0.5,2.43,2.99,0.79,1.71,4.57,6.32,2.13,0.72,0.79,1.59,2.31,13.27,Star
De'Aaron Fox,PG,18.35,0.55,0.28,0.32,2.11,11.29,6.64,29.14,2.03,1.1,12.52,28.23,2.31,1.51,3.83,0.09,1.33,-0.83,0.51,1.4,59,58,33.8,8.05,17.21,0.47,1.58,4.92,0.32,6.47,12.29,0.52,0.51,4.1,5.41,0.76,0.65,3.41,4.07,6.22,1.44,0.41,2.74,2.62,21.82,Starter
DeAndre Jordan,C,17.64,0.65,0.0,0.56,13.07,29.89,21.6,6.66,0.96,4.34,18.09,14.19,2.79,2.34,5.14,0.16,-0.26,0.58,0.31,1.16,58,42,22.97,3.21,4.84,0.66,0.0,0.0,0.16,3.2,4.84,0.66,0.66,1.5,2.89,0.52,2.66,6.41,9.08,1.03,0.46,1.22,1.3,2.22,7.91,Star
Delon Wright,PG,14.43,0.53,0.37,0.26,4.15,10.96,7.56,19.91,2.85,1.48,11.74,14.96,1.14,1.08,2.21,0.11,-0.51,1.73,1.23,0.83,43,8,20.17,2.4,5.51,0.43,0.66,1.93,0.34,1.74,3.57,0.48,0.49,1.12,1.42,0.78,0.76,2.08,2.84,2.94,1.18,0.33,0.82,0.99,6.58,Starter
Delonte West,PG-SG,13.29,0.53,0.29,0.2,2.19,10.55,6.42,21.37,2.11,1.26,16.1,17.96,1.08,1.5,2.57,0.08,-0.51,1.01,0.48,0.91,49,29,25.78,3.44,7.79,0.44,0.8,2.22,0.36,2.62,5.57,0.47,0.49,1.27,1.59,0.8,0.49,2.36,2.82,3.46,1.03,0.42,1.62,1.82,8.96,Starter
DeMar DeRozan,SG-SF,18.82,0.56,0.1,0.4,2.37,12.0,7.18,19.4,1.42,0.79,9.54,26.96,4.93,1.86,6.79,0.12,1.49,-0.74,0.75,1.84,74,73,34.7,7.62,16.26,0.47,0.51,1.71,0.28,7.12,14.56,0.49,0.48,5.54,6.56,0.84,0.69,3.69,4.38,4.12,0.98,0.34,2.02,2.22,21.29,Star
DeMarcus Cousins,C,21.02,0.55,0.23,0.4,9.39,29.1,19.27,17.78,2.3,3.07,15.62,30.12,1.31,2.05,3.36,0.12,0.95,1.09,2.04,1.63,48,38,26.54,6.15,13.43,0.46,0.91,2.69,0.28,5.25,10.74,0.5,0.5,4.25,5.71,0.74,2.16,7.01,9.17,2.85,1.19,0.99,2.87,3.46,17.47,Star
DeMarre Carroll,PF-SF,11.4,0.51,0.3,0.28,5.18,13.43,9.34,10.45,1.54,0.94,9.78,15.52,0.93,0.85,1.79,0.07,-1.33,-0.12,-1.44,0.39,38,20,17.03,2.15,5.06,0.42,0.71,2.02,0.3,1.45,3.04,0.47,0.47,1.08,1.45,0.77,0.83,2.14,2.96,0.99,0.62,0.18,0.65,1.48,6.08,Role Player
Dennis Schroder,PG,13.29,0.53,0.35,0.25,1.66,9.86,5.75,27.88,1.44,0.48,14.86,23.15,0.88,1.33,2.23,0.06,-1.06,-0.96,-2.03,0.15,56,29,27.87,4.91,11.48,0.42,1.38,3.98,0.34,3.53,7.51,0.46,0.48,2.42,2.88,0.83,0.43,2.48,2.89,5.05,0.81,0.16,2.17,2.16,13.6,Role Player
Deron Williams,PG,17.57,0.55,0.32,0.3,1.39,9.61,5.48,39.58,1.51,0.57,16.49,23.42,4.13,1.3,5.44,0.11,2.38,-1.2,1.18,1.98,61,55,33.4,5.54,12.69,0.44,1.4,4.01,0.35,4.14,8.68,0.48,0.49,3.34,4.03,0.82,0.41,2.71,3.14,8.08,0.99,0.24,2.85,2.52,15.82,Star
