Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Marquis Daniels,SG-PG,12.42,0.49,0.11,0.23,4.83,9.98,7.42,13.18,2.22,0.93,13.04,18.82,0.4,1.24,1.66,0.06,-1.73,0.56,-1.17,0.3,55,15,20.94,3.16,6.99,0.45,0.17,0.76,0.21,2.97,6.23,0.47,0.46,1.17,1.65,0.72,0.92,1.83,2.75,1.72,0.9,0.24,1.13,1.56,7.65,Role Player
Martell Webster,SF,9.13,0.49,0.54,0.28,2.78,11.02,6.88,5.95,1.04,0.76,10.13,16.2,1.47,0.99,2.47,0.04,-1.63,-1.07,-2.7,0.44,58,27,21.26,2.51,6.11,0.36,1.13,3.08,0.33,1.37,3.02,0.44,0.44,1.34,1.73,0.79,0.55,2.18,2.71,0.89,0.44,0.23,0.83,1.59,7.48,Bust
Marvin Williams,PF-SF,13.16,0.55,0.38,0.27,4.61,16.13,10.32,7.25,1.44,1.65,9.41,15.82,2.2,1.76,3.96,0.1,-0.44,0.09,-0.35,0.74,66,49,27.04,3.46,7.78,0.44,0.96,2.67,0.33,2.49,5.13,0.51,0.51,1.79,2.21,0.81,1.11,3.83,4.95,1.25,0.74,0.54,0.91,1.99,9.64,Starter
Mason Plumlee,C-PF,17.68,0.62,0.01,0.56,10.26,23.89,17.11,15.83,1.49,3.09,17.35,16.04,2.69,1.79,4.48,0.15,-0.1,1.27,1.17,1.22,64,38,22.42,3.32,5.53,0.61,0.0,0.04,0.02,3.32,5.49,0.61,0.61,1.81,3.06,0.59,2.09,4.84,6.93,2.52,0.68,0.81,1.42,2.65,8.44,Star
Matt Barnes,SF,12.03,0.53,0.38,0.25,6.28,16.71,11.56,11.39,1.67,1.36,15.55,15.95,1.12,1.42,2.56,0.08,-1.07,0.36,-0.69,0.59,59,21,21.85,2.65,6.13,0.44,0.88,2.67,0.3,1.75,3.47,0.51,0.5,1.01,1.37,0.74,1.11,3.27,4.38,1.73,0.72,0.41,1.19,2.38,7.19,Role Player
Matt Bonner,PF-SF,13.42,0.59,0.53,0.11,5.31,15.02,10.28,6.35,1.12,1.14,6.95,14.91,1.99,1.22,3.22,0.14,0.66,0.26,0.89,0.82,66,9,16.12,2.12,4.55,0.46,0.98,2.37,0.41,1.14,2.19,0.51,0.57,0.4,0.52,0.77,0.73,2.11,2.85,0.67,0.34,0.26,0.37,1.54,5.59,Starter
Matt Carroll,SG-SF,7.37,0.49,0.28,0.29,2.07,9.79,5.88,7.69,1.43,0.44,14.73,17.12,0.35,0.4,0.76,0.01,-4.47,-0.99,-5.47,-0.05,38,7,11.78,1.46,3.63,0.4,0.41,1.16,0.3,1.05,2.46,0.43,0.44,0.89,1.09,0.83,0.22,1.06,1.3,0.53,0.34,0.06,0.58,1.21,4.22,Bust
Maurice Evans,SG,11.59,0.52,0.35,0.2,5.59,7.68,6.63,7.28,1.41,0.56,6.78,16.26,1.42,0.77,2.19,0.09,-0.9,-0.66,-1.54,0.22,55,15,18.57,2.42,5.56,0.43,0.68,2.0,0.31,1.72,3.57,0.48,0.49,0.83,1.03,0.79,0.88,1.31,2.18,0.78,0.51,0.13,0.45,1.65,6.37,Role Player
Maurice Harkless,SF,10.26,0.54,0.41,0.23,4.25,11.97,8.11,6.34,1.91,2.24,12.31,12.61,0.69,1.17,1.88,0.07,-2.34,0.74,-1.58,0.31,51,32,21.65,2.4,5.11,0.46,0.59,1.88,0.32,1.8,3.24,0.52,0.53,0.79,1.22,0.6,0.86,2.39,3.24,0.99,0.86,0.56,0.76,2.08,6.14,Role Player
Melvin Ely,PF,8.24,0.48,0.0,0.4,7.04,14.36,10.67,6.65,0.89,2.43,15.99,16.9,-0.12,0.45,0.33,0.02,-4.81,-0.7,-5.49,-0.32,37,5,13.9,1.66,3.75,0.44,0.0,0.0,0.0,1.66,3.74,0.44,0.44,0.93,1.51,0.63,0.87,1.69,2.57,0.59,0.24,0.46,0.86,1.96,4.25,Bust
Meyers Leonard,C,11.93,0.6,0.46,0.2,5.41,22.54,14.11,7.73,0.65,0.97,13.62,14.97,0.92,0.67,1.59,0.11,-1.59,-0.15,-1.75,0.1,46,10,14.5,1.92,3.95,0.49,0.72,1.83,0.37,1.18,2.1,0.57,0.58,0.56,0.7,0.78,0.7,2.94,3.64,0.77,0.18,0.21,0.68,2.01,5.12,Role Player
Michael Beasley,PF-SF,15.82,0.52,0.13,0.22,5.35,18.54,11.98,10.42,1.33,2.0,12.52,26.91,0.18,1.24,1.42,0.05,-0.85,-0.87,-1.75,0.07,55,22,21.34,4.8,10.25,0.47,0.44,1.28,0.33,4.36,8.95,0.49,0.49,1.67,2.21,0.75,1.02,3.43,4.42,1.23,0.54,0.51,1.57,2.09,11.69,Role Player
Michael Carter-Williams,PG,13.12,0.47,0.22,0.36,4.1,14.24,9.08,26.87,2.44,2.16,16.53,21.8,-0.51,1.15,0.62,0.04,-2.24,0.87,-1.37,0.21,38,22,22.56,3.35,8.39,0.39,0.43,1.66,0.25,2.94,6.74,0.43,0.42,1.98,2.85,0.68,0.85,2.97,3.85,4.02,1.12,0.52,2.04,2.22,9.07,Role Player
Michael Kidd-Gilchrist,SF,11.01,0.5,0.12,0.35,6.47,18.38,12.34,7.23,1.0,2.09,13.58,15.57,0.91,1.17,2.08,0.06,-3.06,-0.2,-3.27,0.01,47,36,21.46,2.77,5.95,0.44,0.13,0.44,0.2,2.64,5.48,0.46,0.45,1.55,2.18,0.74,1.34,3.48,4.8,1.01,0.48,0.53,0.85,1.89,7.22,Bust
Michael Redd,SG-SF,16.54,0.52,0.3,0.29,3.68,9.49,6.55,11.47,1.48,0.24,7.68,25.62,3.97,0.68,4.65,0.09,1.85,-1.67,0.21,1.78,52,36,28.1,5.68,13.01,0.42,1.39,3.86,0.33,4.28,9.17,0.46,0.47,3.37,4.09,0.81,0.82,2.38,3.21,1.91,0.82,0.11,1.3,1.35,16.16,Starter
Mike Conley,PG,16.71,0.56,0.41,0.27,1.75,8.98,5.36,28.06,2.12,0.57,12.73,20.54,3.57,1.99,5.56,0.13,1.78,0.32,2.09,2.1,62,60,31.02,4.86,11.21,0.43,1.72,4.5,0.38,3.14,6.72,0.47,0.51,2.58,3.14,0.83,0.48,2.46,2.91,5.64,1.31,0.21,1.8,1.94,14.04,Star
Mike Dunleavy,SF,13.14,0.55,0.42,0.25,2.77,13.95,8.33,12.21,1.29,0.84,11.94,17.92,1.91,1.52,3.43,0.09,-0.12,-0.11,-0.21,0.91,59,33,26.41,3.78,8.62,0.44,1.27,3.38,0.37,2.52,5.24,0.48,0.51,1.81,2.27,0.8,0.67,3.36,4.03,2.07,0.69,0.3,1.32,1.97,10.63,Starter
Mike Muscala,C-PF,12.14,0.56,0.56,0.17,5.88,16.59,11.26,7.59,0.89,2.46,9.83,15.52,0.72,0.63,1.36,0.09,-1.16,-0.25,-1.41,0.22,40,4,14.61,1.94,4.43,0.43,0.94,2.62,0.33,1.0,1.82,0.53,0.53,0.65,0.8,0.76,0.74,2.25,2.99,0.81,0.27,0.43,0.52,1.38,5.47,Role Player
Mike Scott,PF,11.26,0.53,0.46,0.15,4.91,16.39,10.75,8.08,0.95,0.74,9.44,17.35,0.75,0.91,1.68,0.08,-1.39,-0.91,-2.29,0.04,58,3,16.33,2.35,5.4,0.42,0.91,2.49,0.32,1.45,2.92,0.47,0.51,0.6,0.76,0.74,0.67,2.43,3.09,0.85,0.31,0.15,0.6,1.5,6.19,Role Player
Mo Williams,PG-SG,14.54,0.52,0.32,0.2,1.83,8.85,5.3,29.56,1.53,0.42,15.65,23.35,1.62,0.94,2.54,0.07,0.54,-1.39,-0.87,0.61,56,36,29.03,4.92,11.6,0.42,1.41,3.81,0.36,3.52,7.79,0.45,0.48,2.04,2.32,0.87,0.44,2.22,2.67,5.12,0.85,0.15,2.35,2.42,13.26,Role Player
Monta Ellis,SG-PG,15.68,0.52,0.18,0.26,1.79,9.41,5.54,22.04,2.32,0.74,13.76,25.02,1.53,1.64,3.19,0.06,-0.16,-0.51,-0.67,0.96,64,55,34.72,6.94,15.5,0.45,0.86,2.76,0.31,6.07,12.75,0.48,0.48,3.24,4.14,0.77,0.56,2.9,3.46,4.7,1.64,0.33,2.71,2.34,17.96,Starter
Monte Morris,PG,15.06,0.56,0.37,0.16,1.65,10.4,6.1,22.59,1.98,0.87,7.62,16.82,1.78,0.79,2.59,0.12,0.08,0.38,0.49,0.58,45,17,19.08,2.97,6.4,0.47,0.88,2.39,0.33,2.09,4.03,0.52,0.53,0.75,0.92,0.79,0.27,1.75,2.03,2.96,0.67,0.18,0.55,0.75,7.56,Starter
Montrezl Harrell,PF,21.42,0.65,0.02,0.47,9.7,16.44,13.1,10.65,1.17,2.97,10.39,20.57,3.66,1.35,5.03,0.19,2.06,0.16,2.21,1.46,59,4,20.23,4.66,7.45,0.63,0.02,0.15,0.1,4.64,7.3,0.64,0.63,2.31,3.46,0.66,1.8,3.18,4.98,1.4,0.48,0.7,1.01,1.97,11.66,Star
Myles Turner,C-PF,17.14,0.59,0.32,0.31,5.49,20.6,13.08,6.25,1.14,6.67,10.79,19.79,2.19,2.67,4.86,0.12,-0.3,1.0,0.71,1.3,64,61,28.75,5.13,10.28,0.5,1.21,3.31,0.34,3.94,6.96,0.57,0.55,2.46,3.17,0.77,1.4,5.36,6.75,1.23,0.69,2.25,1.42,2.93,13.91,Star
Nate Robinson,PG,12.85,0.48,0.46,0.19,2.56,7.58,5.1,23.14,1.92,0.22,11.3,22.28,1.15,0.7,1.85,0.07,-0.79,-0.65,-1.42,0.52,46,7,18.97,3.16,7.74,0.37,1.12,3.22,0.33,2.04,4.5,0.44,0.44,1.24,1.58,0.77,0.48,1.34,1.8,2.62,0.73,0.06,1.16,2.17,8.68,Role Player
Nene,PF,13.15,0.55,0.01,0.47,7.28,18.55,12.94,10.53,1.87,2.23,17.74,21.05,2.03,1.97,3.99,0.06,-3.47,0.3,-3.17,1.04,53,35,24.11,4.07,7.54,0.51,0.0,0.06,0.06,4.05,7.49,0.52,0.51,2.39,3.66,0.65,1.59,4.13,5.72,1.65,0.94,0.74,1.77,2.8,10.53,Role Player
Nerlens Noel,C,14.84,0.55,0.02,0.35,8.92,21.18,14.92,7.32,3.09,5.05,19.07,14.12,0.81,1.68,2.48,0.11,-2.78,2.6,-0.17,0.65,41,19,19.48,2.44,4.56,0.51,0.02,0.02,0.2,2.42,4.52,0.51,0.51,1.08,1.62,0.67,1.63,3.66,5.29,0.95,1.18,1.13,1.14,2.42,5.98,Starter
Nick Collison,PF,12.81,0.58,0.03,0.34,10.74,17.51,14.16,8.26,1.14,1.71,16.99,13.16,1.9,1.29,3.17,0.11,-1.53,0.07,-1.47,0.23,65,13,18.66,2.21,4.13,0.55,0.01,0.09,0.06,2.19,4.02,0.56,0.55,0.91,1.28,0.69,1.77,2.94,4.7,0.97,0.44,0.45,0.9,2.51,5.36,Starter
Nick Young,SG-SF,11.85,0.53,0.45,0.21,1.69,7.6,4.6,6.69,1.16,0.79,9.25,21.96,1.12,0.36,1.47,0.05,-0.76,-1.94,-2.71,-0.06,56,17,22.73,3.93,9.59,0.41,1.46,3.94,0.37,2.47,5.64,0.41,0.49,1.86,2.23,0.84,0.37,1.54,1.9,0.92,0.54,0.21,1.0,1.85,11.21,Role Player
Nikola Vucevic,PF-C,20.2,0.54,0.18,0.14,8.6,28.21,18.31,16.02,1.34,2.34,9.75,24.84,2.65,2.75,5.39,0.13,2.06,0.24,2.31,2.26,65,61,31.29,7.49,15.19,0.49,1.1,3.02,0.32,6.41,12.17,0.53,0.53,1.61,2.06,0.77,2.43,8.04,10.48,2.96,0.86,0.85,1.71,2.39,17.68,Star
Noah Vonleh,PF,10.04,0.51,0.24,0.28,8.9,23.52,16.1,7.04,0.94,1.68,17.79,14.43,0.35,0.65,1.01,0.05,-3.59,-0.66,-4.25,-0.04,38,16,12.88,1.48,3.23,0.46,0.23,0.78,0.32,1.28,2.45,0.49,0.49,0.62,0.93,0.7,1.11,2.98,4.08,0.62,0.3,0.29,0.64,1.34,3.82,Bust
Norman Powell,SG,15.8,0.6,0.43,0.3,1.81,10.38,6.1,10.54,1.64,1.14,10.29,22.38,1.73,1.11,2.85,0.11,0.81,-0.41,0.41,0.68,52,26,26.26,5.13,10.86,0.47,1.94,4.7,0.4,3.2,6.16,0.52,0.55,2.89,3.45,0.83,0.43,2.4,2.83,1.74,0.87,0.33,1.36,2.03,15.08,Starter
OG Anunoby,SF,13.16,0.58,0.47,0.18,3.83,11.76,7.75,8.14,2.05,1.79,11.03,17.38,1.48,1.92,3.39,0.09,-0.59,0.56,-0.06,0.9,54,47,31.38,5.09,10.71,0.48,1.86,4.92,0.38,3.26,5.79,0.57,0.56,1.44,1.91,0.74,1.1,3.3,4.4,1.83,1.33,0.62,1.42,2.42,13.52,Starter
O.J. Mayo,SG-PG,12.8,0.52,0.37,0.19,1.92,9.85,5.86,15.64,1.74,0.72,13.94,21.92,1.26,1.45,2.74,0.06,-0.48,-0.69,-1.2,0.6,68,41,30.12,4.91,11.56,0.42,1.55,4.18,0.37,3.38,7.41,0.45,0.49,1.9,2.31,0.81,0.5,2.51,3.04,2.89,1.0,0.28,2.02,2.3,13.26,Starter
Omri Casspi,SF,12.32,0.55,0.33,0.25,4.5,16.56,10.57,8.03,1.58,0.87,13.33,17.06,0.77,0.77,1.55,0.07,-1.08,-0.48,-1.58,0.24,48,11,19.48,2.82,5.98,0.47,0.8,2.09,0.37,2.02,3.92,0.52,0.53,0.95,1.43,0.65,0.78,2.79,3.55,0.98,0.58,0.19,1.02,1.59,7.4,Role Player
Otto Porter,SF,14.13,0.56,0.42,0.17,4.52,16.77,10.59,9.42,2.09,1.21,8.09,16.77,1.51,1.25,2.75,0.11,-0.23,0.53,0.31,0.94,41,25,23.69,3.73,8.11,0.45,1.28,3.34,0.36,2.45,4.77,0.52,0.53,1.13,1.37,0.83,0.94,3.63,4.55,1.57,1.05,0.33,0.76,1.62,9.84,Starter
Pascal Siakam,PF,18.12,0.58,0.22,0.28,5.56,18.14,11.79,17.23,1.36,1.75,10.35,23.36,3.47,2.2,5.67,0.13,1.51,0.14,1.64,2.03,64,56,31.54,7.15,14.22,0.51,1.11,3.24,0.32,6.07,10.97,0.55,0.54,3.25,4.28,0.74,1.56,5.14,6.7,3.71,0.89,0.56,1.81,2.64,18.65,Star
Pat Connaughton,SG,10.72,0.55,0.59,0.12,4.29,14.67,9.63,10.24,1.07,1.11,10.99,13.66,1.19,1.27,2.46,0.09,-1.15,-0.1,-1.24,0.45,60,7,17.9,2.06,4.72,0.43,1.05,2.98,0.35,1.0,1.74,0.56,0.54,0.45,0.58,0.79,0.65,2.56,3.2,1.33,0.44,0.26,0.52,1.08,5.65,Starter
Patrick Patterson,PF,12.73,0.54,0.4,0.13,6.69,15.01,10.85,7.27,1.25,1.56,9.27,15.07,1.53,1.11,2.63,0.1,-0.08,-0.2,-0.3,0.63,57,11,21.32,2.9,6.3,0.45,0.81,2.23,0.32,2.08,4.06,0.5,0.52,0.6,0.79,0.74,1.31,2.87,4.14,1.03,0.53,0.44,0.69,1.69,7.19,Starter
Patty Mills,PG,12.42,0.55,0.6,0.14,1.91,6.75,4.37,15.94,1.68,0.34,11.4,20.16,0.98,0.82,1.8,0.08,-0.85,-0.58,-1.44,0.41,49,6,16.58,2.52,6.1,0.41,1.35,3.65,0.38,1.18,2.45,0.48,0.53,0.68,0.79,0.87,0.26,1.08,1.35,1.75,0.55,0.07,0.82,1.12,7.12,Role Player
Paul George,SF,18.41,0.56,0.42,0.27,2.77,17.93,10.43,18.32,2.54,1.12,13.5,27.27,2.79,3.17,5.97,0.12,2.04,1.03,3.09,2.95,61,57,32.17,6.79,15.54,0.44,2.53,6.58,0.38,4.28,8.95,0.47,0.52,3.65,4.29,0.84,0.78,5.27,6.05,3.64,1.62,0.43,2.67,2.57,19.75,Star
Paul Millsap,PF,17.18,0.55,0.17,0.35,9.58,19.67,14.67,11.81,2.09,2.84,12.67,20.66,2.77,2.56,5.32,0.13,0.03,0.79,0.83,1.66,62,42,25.77,4.51,9.36,0.48,0.5,1.51,0.27,4.01,7.86,0.51,0.5,2.51,3.4,0.73,2.0,4.47,6.48,2.03,1.09,0.87,1.55,2.83,12.04,Star
Primoz Brezec,C,8.64,0.47,0.0,0.41,10.78,13.97,12.31,4.09,0.53,2.04,12.59,16.7,0.52,0.33,0.85,0.04,-4.83,-1.6,-6.44,-0.2,32,18,10.82,1.51,3.18,0.46,0.0,0.01,0.11,1.51,3.18,0.46,0.46,0.68,1.06,0.54,0.98,1.29,2.26,0.29,0.11,0.25,0.48,1.58,3.68,Bust
Ramon Sessions,PG,14.57,0.52,0.16,0.48,2.13,10.61,6.33,28.43,1.48,0.25,15.94,20.91,1.43,0.59,2.01,0.07,-0.31,-1.07,-1.39,0.33,49,11,22.49,3.13,7.38,0.41,0.36,1.07,0.31,2.77,6.31,0.43,0.44,2.81,3.57,0.78,0.44,2.09,2.53,4.06,0.65,0.08,1.66,1.29,9.43,Role Player
Randy Foye,SG-PG,11.1,0.51,0.47,0.2,1.44,8.69,5.04,16.86,1.37,0.95,13.48,18.85,1.06,0.78,1.84,0.05,-0.9,-0.76,-1.68,0.25,64,34,24.98,3.42,8.58,0.39,1.39,3.88,0.35,2.0,4.72,0.42,0.47,1.46,1.74,0.84,0.31,1.88,2.21,2.72,0.67,0.3,1.42,2.03,9.68,Role Player
Rasual Butler,SF,10.34,0.51,0.48,0.12,1.68,10.97,6.37,6.08,0.83,1.75,8.58,17.45,0.38,0.97,1.39,0.06,-0.85,-0.55,-1.4,0.13,57,18,18.46,2.41,6.04,0.41,1.02,2.8,0.37,1.39,3.25,0.44,0.5,0.59,0.8,0.72,0.29,1.77,2.05,0.71,0.29,0.42,0.57,1.22,6.42,Role Player
Raymond Felton,PG,13.74,0.5,0.3,0.21,2.02,9.5,5.73,28.01,2.03,0.66,15.04,20.1,1.25,1.61,2.85,0.07,-0.24,-0.31,-0.55,0.74,65,45,29.02,4.18,10.06,0.41,0.99,2.95,0.33,3.17,7.12,0.45,0.46,1.74,2.22,0.79,0.55,2.34,2.88,5.32,1.17,0.2,2.04,1.85,11.05,Starter
Reggie Bullock,SG-SF,8.77,0.52,0.64,0.11,1.6,12.12,6.83,6.71,1.3,0.69,8.4,13.2,0.78,0.83,1.65,0.06,-1.97,-0.01,-1.97,0.2,44,24,20.01,2.29,5.53,0.39,1.34,3.59,0.35,0.94,1.93,0.47,0.5,0.51,0.61,0.8,0.27,2.0,2.28,1.03,0.53,0.15,0.51,1.21,6.43,Role Player
Reggie Evans,PF,11.58,0.5,0.0,0.88,14.78,28.46,21.63,4.15,1.89,0.55,21.58,12.71,0.47,1.35,1.82,0.08,-2.36,-0.75,-3.14,-0.23,55,25,18.96,1.42,3.04,0.46,0.0,0.0,0.12,1.42,3.03,0.47,0.46,1.36,2.58,0.53,2.42,4.66,7.05,0.56,0.68,0.13,1.13,2.33,4.19,Bust
Richard Jefferson,SF,13.01,0.56,0.32,0.36,2.66,12.75,7.72,10.93,1.16,0.78,11.68,18.2,2.72,1.81,4.54,0.1,-0.19,-0.19,-0.38,1.05,65,45,28.09,4.09,9.01,0.45,0.95,2.46,0.36,3.17,6.55,0.49,0.52,2.76,3.58,0.73,0.72,3.15,3.88,1.96,0.63,0.28,1.43,2.12,11.89,Starter
Richaun Holmes,PF,17.19,0.63,0.06,0.32,10.8,20.42,15.59,7.58,1.12,3.71,11.61,16.03,1.85,0.83,2.67,0.15,-0.69,-0.06,-0.77,0.4,44,16,18.07,3.19,5.32,0.59,0.08,0.32,0.28,3.12,5.01,0.61,0.6,1.29,1.71,0.74,1.76,3.44,5.19,0.92,0.44,0.82,0.77,2.3,7.75,Starter
Robert Covington,SF-PF,13.34,0.56,0.66,0.19,3.84,16.86,10.29,6.78,2.85,3.15,10.86,15.45,0.59,1.66,2.25,0.1,-0.79,1.73,0.97,0.77,43,32,26.51,3.27,7.84,0.42,1.83,5.09,0.36,1.43,2.74,0.55,0.53,1.24,1.57,0.79,0.86,4.21,5.07,1.3,1.53,1.01,1.13,2.72,9.63,Starter
Rodney Hood,SF,10.66,0.53,0.44,0.17,1.8,9.62,5.71,8.97,1.3,0.73,8.46,17.26,0.74,0.69,1.44,0.06,-1.59,-0.66,-2.27,0.11,43,21,22.21,3.29,7.8,0.41,1.23,3.37,0.37,2.08,4.44,0.45,0.49,1.19,1.41,0.84,0.36,1.96,2.29,1.38,0.59,0.18,0.78,1.63,9.02,Bust
Rodney Stuckey,SG-PG,14.47,0.51,0.14,0.38,2.52,10.14,6.27,21.3,1.67,0.39,13.18,23.19,1.71,1.17,2.86,0.07,-0.61,-0.54,-1.14,0.51,65,30,26.77,4.32,10.22,0.42,0.42,1.41,0.28,3.88,8.8,0.44,0.44,3.18,3.85,0.82,0.62,2.26,2.88,3.49,0.85,0.12,1.78,2.0,12.2,Starter
Ronald Murray,SG,10.97,0.47,0.22,0.26,1.83,8.83,5.31,17.48,2.04,0.48,15.64,24.67,-0.01,0.71,0.69,-0.01,-2.59,-1.22,-3.77,-0.08,43,9,20.19,3.23,7.86,0.4,0.53,1.82,0.24,2.71,6.04,0.44,0.43,1.56,2.17,0.7,0.34,1.51,1.85,2.11,0.71,0.14,1.48,1.3,8.53,Bust
Ronnie Brewer,SG-PG,10.23,0.44,0.21,0.27,4.15,9.72,7.01,8.89,2.56,0.56,10.15,11.75,1.16,1.38,2.51,0.08,-1.71,1.31,-0.41,0.89,46,28,17.96,2.03,4.41,0.39,0.15,0.58,0.21,1.89,3.84,0.42,0.41,0.92,1.41,0.52,0.66,1.57,2.23,1.25,0.96,0.16,0.55,0.76,5.13,Role Player
Ronnie Price,PG,8.84,0.45,0.42,0.2,2.88,7.92,5.38,18.72,2.97,0.52,17.54,16.28,-0.22,0.53,0.32,0.02,-3.95,0.86,-3.08,-0.13,45,6,12.99,1.25,3.44,0.35,0.42,1.43,0.28,0.82,2.01,0.4,0.41,0.51,0.68,0.75,0.32,0.88,1.18,1.75,0.78,0.1,0.82,1.61,3.4,Bust
Ronny Turiaf,PF,12.22,0.61,0.01,0.53,6.92,17.57,12.24,9.63,1.55,4.67,21.47,10.54,0.86,0.81,1.68,0.1,-2.16,1.85,-0.32,0.42,41,9,15.72,1.42,2.56,0.59,0.0,0.02,0.0,1.42,2.55,0.59,0.59,0.81,1.34,0.58,0.98,2.48,3.45,1.08,0.47,1.03,0.72,2.04,3.63,Starter
Rudy Gay,SF-PF,16.07,0.53,0.25,0.26,4.77,16.64,10.7,11.63,1.83,1.91,12.1,24.49,1.39,1.94,3.32,0.08,0.55,-0.03,0.53,1.28,60,44,31.35,6.1,13.71,0.44,1.08,3.11,0.34,5.04,10.62,0.48,0.49,2.94,3.64,0.81,1.3,4.42,5.72,2.17,1.16,0.72,2.16,2.26,16.2,Starter
Rudy Gobert,C,20.58,0.66,0.0,0.71,12.61,29.5,21.23,6.38,1.12,5.79,15.52,15.72,5.39,4.27,9.67,0.21,0.97,1.91,2.87,2.83,69,61,30.08,4.57,7.01,0.64,0.0,0.02,0.0,4.57,6.98,0.64,0.64,3.12,4.88,0.63,3.3,8.13,11.45,1.32,0.69,2.02,1.6,2.62,12.3,Superstar
Russell Westbrook,PG,20.86,0.53,0.22,0.35,5.36,17.32,11.41,39.85,2.28,0.88,16.66,30.65,3.1,2.93,6.01,0.12,2.77,0.37,3.14,3.14,69,58,32.8,7.49,17.02,0.44,1.13,3.69,0.3,6.35,13.33,0.48,0.47,4.61,6.03,0.75,1.56,5.32,6.87,7.93,1.52,0.36,3.86,2.51,20.7,Star
Ryan Gomes,SF-PF,10.2,0.49,0.23,0.21,4.69,14.11,9.38,7.48,1.25,0.31,10.88,16.08,1.44,0.98,2.41,0.05,-1.98,-0.91,-2.89,0.18,61,46,24.02,3.24,7.36,0.42,0.52,1.64,0.28,2.7,5.74,0.47,0.46,1.38,1.71,0.78,1.06,2.9,3.96,1.23,0.62,0.14,0.98,1.75,8.4,Bust
Sasha Vujacic,PG-SG,9.8,0.5,0.5,0.15,2.58,12.82,7.78,12.44,2.07,0.26,12.87,18.96,0.77,0.72,1.5,0.03,-2.76,-0.22,-2.97,0.21,54,6,14.35,1.8,4.69,0.38,0.86,2.34,0.37,0.96,2.37,0.39,0.47,0.64,0.76,0.82,0.32,1.51,1.83,1.21,0.54,0.06,0.67,1.38,5.16,Bust
Seth Curry,SG,11.15,0.54,0.48,0.12,1.35,9.45,5.39,10.35,2.25,0.49,8.29,16.06,1.12,0.62,1.75,0.07,-2.03,0.38,-1.64,0.32,39,17,18.86,2.92,6.4,0.41,1.41,3.24,0.46,1.52,3.18,0.41,0.52,0.75,0.86,0.87,0.25,1.52,1.77,1.56,0.68,0.12,0.75,1.22,7.99,Role Player
Shane Battier,SF-PF,12.27,0.56,0.52,0.21,4.87,11.07,7.98,8.83,1.72,2.24,10.51,12.42,2.88,2.51,5.39,0.12,0.39,1.16,1.55,2.01,71,51,30.16,2.94,6.73,0.43,1.25,3.28,0.38,1.67,3.45,0.48,0.53,1.13,1.53,0.74,1.27,2.92,4.18,1.79,0.98,0.89,0.9,2.19,8.27,Star
Shaun Livingston,PG-SG,11.6,0.52,0.02,0.25,2.79,10.08,6.46,20.62,1.69,1.24,18.08,14.98,0.82,0.89,1.7,0.07,-2.18,0.48,-1.71,0.24,47,11,20.46,2.48,5.13,0.47,0.0,0.1,0.12,2.47,5.04,0.48,0.47,1.06,1.28,0.82,0.52,1.82,2.32,2.86,0.67,0.33,1.23,1.68,6.0,Role Player
Shelvin Mack,PG,9.81,0.49,0.33,0.18,1.24,9.45,5.37,25.37,1.77,0.15,18.63,20.37,0.19,0.69,0.87,0.01,-3.44,-0.81,-4.23,-0.01,40,6,16.83,2.36,5.62,0.41,0.6,1.83,0.28,1.77,3.8,0.49,0.46,0.72,1.03,0.69,0.21,1.52,1.73,2.71,0.61,0.04,1.23,1.21,5.98,Bust
Solomon Hill,SF,7.97,0.47,0.55,0.19,3.77,12.89,8.42,9.94,1.7,1.0,14.2,12.12,0.25,0.97,1.21,0.05,-3.07,0.59,-2.48,-0.01,46,18,18.48,1.54,4.13,0.36,0.71,2.21,0.3,0.83,1.95,0.42,0.44,0.71,0.91,0.76,0.61,2.19,2.76,1.38,0.64,0.22,0.76,1.53,4.48,Bust
Solomon Jones,PF-C,7.5,0.43,0.01,0.44,10.54,12.92,11.73,3.89,1.13,3.33,24.19,12.95,0.18,0.36,0.52,0.03,-5.07,-0.28,-5.36,-0.18,30,1,11.48,0.91,2.19,0.37,0.0,0.02,0.1,0.9,2.16,0.37,0.37,0.71,0.97,0.71,1.0,1.24,2.27,0.32,0.25,0.48,0.71,1.83,2.55,Bust
Spencer Dinwiddie,PG,13.72,0.54,0.45,0.37,1.54,10.82,6.23,25.73,1.28,0.82,12.41,20.17,2.0,0.95,2.95,0.09,-0.24,-0.33,-0.57,0.65,50,31,27.11,3.99,9.64,0.41,1.48,4.38,0.32,2.51,5.24,0.47,0.48,2.77,3.51,0.8,0.38,2.68,3.05,4.84,0.7,0.27,1.52,2.06,12.21,Starter
