,PER_nba,TS%_nba,3PAr_nba,FTr_nba,ORB%_nba,DRB%_nba,TRB%_nba,AST%_nba,STL%_nba,BLK%_nba,TOV%_nba,USG%_nba,OWS_nba,DWS_nba,WS_nba,OBPM_nba,DBPM_nba,BPM_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,eFG%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba
STL_college,,,0.11730416077030077,,,,,0.4555867273699186,0.70599333950427,,,,,,,,0.2683072503316271,,,,,,,,,,,,,,,,,,,0.6464399826606738,,,,
STL_nba,,,0.11419016534076494,,,,,0.5163617904907544,0.8155896461688448,,,,,0.6152308108910728,,,0.43410521922737333,0.5205524547869202,,0.5534549659683602,,,0.42715236750511865,0.1904304577334113,,,,,0.46111604861590993,,,,,,0.6410710828904351,1.0,,0.6062637229708392,,
STNDRCH,,0.38926037827340604,,,0.6974243183970469,0.7961313658934412,0.7943083826702841,,,0.734808322264625,,,,,,,0.25971945217879067,,,,0.5878575698766639,,,,,,0.6230886128075401,0.4381587883870378,,,,0.6378726753078734,0.49814402091496535,0.5833352428247599,,,0.6321667356941626,,,
TOV%_college,,,,,,,,,,,0.6022648777807932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOV%_nba,,,,,,,,,0.22649440977618565,,1.0,,,,,,0.3898179899687612,,,,,,,,,,,,,,,,,,,,,,0.35845646639523,
TOV_college,,,,,,,,,0.23732210546054192,,0.35173758084205564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOV_nba,,,,,,,,0.6514270522159628,0.22691048185908977,,0.2646579324423859,0.7698250508355693,,0.5167408383771357,,0.5204939849445916,,,0.8181894461960134,0.8334643489902581,,0.4974474780087783,0.5379230859787251,,0.7706132320805903,0.8251068962726699,,,0.7585305656595908,0.7694394635341333,,,,,0.7933321288151817,0.6062637229708392,,1.0,0.5110883724945307,0.8199289411601203
TRB%_college,,,,,0.6383251405234497,0.7206105844035448,0.720374729423581,,,0.5476630991262328,,,,,,,,,,,,,,,,,0.5086825130471363,,,,,0.6094981340012683,0.5545570025618664,0.612284989020607,,,0.5066267891871546,,0.3647710219368017,
TRB%_nba,,,,0.5615440167465785,0.9272489389131076,0.9705614075977231,1.0,,,0.715596087195505,0.2384248811130857,,,,,,,,,,0.6500214322495972,,,,,,0.6228588822249005,,,,,0.8516916824098789,0.6239132917985541,0.7517850346497866,,,0.5962821972044464,,,
TRB_college,,,,,0.5986060522094021,0.5909514024125917,,,,,,,,,,,,,,,,,,,,,,,,,,0.591384529213149,0.5053600368325767,0.571958933234297,,,,,,
TRB_nba,0.5926420870571333,,,0.541929223415227,0.6549985291932124,0.7603728902954878,0.7517850346497866,,,0.5076098731257478,0.20004596757681004,,,0.6647678543274961,0.5385406343024849,,,,,,0.5871705732837679,,,,0.5583371639816275,,0.5165151513915259,,,,,0.8812412646831295,0.9662892719220306,1.0,,,0.6532580143514141,,0.5584360011892086,
TS%_nba,0.5896262098305686,1.0,,0.44671148013028533,,,,,,,,,0.5739161302161391,,,0.514534724893292,,0.5456229800411962,,,0.7994957711677565,,,,,,0.8020312105186221,0.9473106950400734,,,,,,,,,,,,
USG%_nba,0.549541494666997,,,,,,,0.5075196214839133,,,,1.0,,,,0.6655838715731505,,,0.8568739251150813,0.8818258320560804,,0.5980786865356269,0.624114676659881,0.20298595372498823,0.7652948597407501,0.8319353630144415,,,0.7646103052714688,0.7363280586612821,0.3412908795998021,,,,0.5796072099472527,,,0.7698250508355693,,0.8639065434627776
VORP,0.7778577902821517,0.37932543584475376,,,,,,0.4521394986669143,0.2133240583683143,,,0.5581713325077241,0.8825963283346521,0.6644135426242351,0.9203252341635193,0.8611269640093854,,0.8942594365277434,0.7271892180725773,0.6624564800799363,,0.39577048127287384,,,0.7105844959555235,0.6816429909538058,,,0.7942800009978932,0.7653249847336518,0.2973336741640232,,,,0.6122318057954472,0.535801287771343,,0.5975363680159086,,0.7482691036924977
WNGSPN,,0.35865783564699844,,0.4477622265128837,0.69106703469866,0.7917193096713548,0.7887925793406475,,,0.7350298255922952,0.19906308136045134,,,,,,0.28667998049611576,,,,0.5823835106837376,,,,,,0.6419358022328647,0.4090245393241529,,,,0.6282954841928986,0.5204045959174863,0.5958660919346374,,,0.6368291244158566,,,
WS/48,0.838717329655233,0.7830760319522478,,0.5901315038405878,,,,,,,,,0.7703185203739416,,0.756466229512352,0.6789768367323826,0.3366621340233072,0.7857331450178436,,,0.7469668140438454,,,,,,0.6508146060540528,0.676481839166377,,,,,,,,,,,,
WS_nba,0.8010793246138221,0.5212462315742123,,,,,,,,,,0.4283911981719751,0.9500376333684913,0.741406205625598,1.0,0.8155881116818069,,0.8403833364200405,0.6831755462839838,0.573488140797133,,,,,0.725692800240183,0.6578861367167662,,0.38455141549820904,0.758823339326269,0.7590913237617076,,,0.5611812935513723,,,,,,,0.689328288312215
eFG%_college,,0.37926327011893984,,,,,,,,,,,,,,,,,,,,,,,,,,0.42376385053182514,,,,,,,,,,,,
eFG%_nba,,0.9473106950400734,,,,,,,,,,,,,,,,,,,0.8274624586267358,,,,,,0.8371172942671747,1.0,,,,,,,,,,,,
