Season,Team,Conf_per_game,Class_per_game,Pos_per_game,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per_game,PlayerName_per_game,CollegeID_per_game,Conf_adv,Class_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_adv,PlayerName_adv,CollegeID_adv,PlayerName,CollegeID
2013-14,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Stanton Kidd,stanton-kidd-1,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Did not play - transfer,Stanton Kidd,stanton-kidd-1,Stanton Kidd,stanton-kidd-1
2014-15,Colorado State,MWC,SR,F,34,34,30.1,4.4,9.4,.464,1.1,2.7,.402,3.3,6.7,.489,.522,1.8,2.4,.741,2.2,2.8,5.1,1.8,0.8,0.8,1.5,2.4,11.6,,Stanton Kidd,stanton-kidd-1,MWC,SR,F,34,34,1023,18.9,.550,.288,.254,383,8.5,10.9,9.7,12.9,1.7,3.2,12.3,20.6,2.5,1.6,4.0,.157,3.3,1.1,4.4,,Stanton Kidd,stanton-kidd-1,Stanton Kidd,stanton-kidd-1
2011-12,Kentucky,SEC,FR,F,40,39,31.1,4.0,8.2,0.491,0.3,1.3,0.255,3.7,6.9,0.535,0.511,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9,AA-2,Michael Kidd-Gilchrist,michael-kidd-gilchrist-1,SEC,FR,F,40,39,1245,21.2,0.57,0.156,0.589,497,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,3.4,2.6,6.0,0.192,4.1,3.6,7.7,AA-2,Michael Kidd-Gilchrist,michael-kidd-gilchrist-1,Michael Kidd-Gilchrist,michael-kidd-gilchrist-1
2010-11,Cincinnati,Big East,FR,G,35,1,20.6,3.3,7.5,0.437,1.3,3.5,0.377,1.9,4.0,0.489,0.525,1.9,2.6,0.722,1.2,2.0,3.2,1.5,0.8,0.1,1.2,1.3,9.7,,Sean Kilpatrick,sean-kilpatrick-1,Big East,FR,G,35,1,720,21.9,0.558,0.467,0.345,314,6.9,11.9,9.3,16.2,2.4,0.3,12.4,25.1,2.2,1.3,3.5,0.193,5.8,2.1,7.9,,Sean Kilpatrick,sean-kilpatrick-1,Sean Kilpatrick,sean-kilpatrick-1
2011-12,Cincinnati,Big East,SO,G,37,37,34.5,5.0,11.7,0.428,2.5,6.6,0.376,2.5,5.1,0.497,0.535,1.8,2.4,0.75,1.4,3.2,4.6,2.1,1.3,0.3,1.5,1.3,14.3,,Sean Kilpatrick,sean-kilpatrick-1,Big East,SO,G,37,37,1277,20.4,0.557,0.567,0.204,484,4.5,11.7,7.8,13.0,2.4,1.0,10.6,21.5,3.5,1.9,5.4,0.17,6.0,2.2,8.2,,Sean Kilpatrick,sean-kilpatrick-1,Sean Kilpatrick,sean-kilpatrick-1
2012-13,Cincinnati,Big East,JR,G,34,33,34.4,5.7,14.4,0.398,2.4,7.9,0.307,3.3,6.5,0.507,0.482,3.1,4.3,0.738,1.3,3.9,5.2,1.9,1.2,0.2,2.0,1.2,17.0,,Sean Kilpatrick,sean-kilpatrick-1,Big East,JR,G,34,33,1169,20.6,0.518,0.547,0.297,519,4.2,14.0,8.8,13.2,2.2,0.7,10.7,26.9,3.2,2.2,5.4,0.184,5.8,2.2,8.0,,Sean Kilpatrick,sean-kilpatrick-1,Sean Kilpatrick,sean-kilpatrick-1
2013-14,Cincinnati,AAC,SR,G,34,33,33.8,6.3,14.9,0.423,2.7,7.9,0.348,3.6,7.0,0.506,0.515,5.3,6.3,0.845,1.1,3.2,4.3,2.5,1.4,0.0,2.1,1.4,20.6,"AA-2,AP-AA-1,NABC-AA-2,SN-AA-1,USBWA-AA-2,W-AA-1",Sean Kilpatrick,sean-kilpatrick-1,AAC,SR,G,34,33,1149,26.2,0.577,0.528,0.421,631,3.6,11.5,7.5,18.5,2.6,0.1,10.3,30.6,4.7,2.4,7.2,0.25,8.8,3.0,11.7,"AA-2,AP-AA-1,NABC-AA-2,SN-AA-1,USBWA-AA-2,W-AA-1",Sean Kilpatrick,sean-kilpatrick-1,Sean Kilpatrick,sean-kilpatrick-1
2013-14,Colorado,Pac-12,FR,G,27.0,0.0,5.5,0.4,1.4,0.282,0.1,0.7,0.2,0.3,0.7,0.368,0.333,0.6,0.9,0.652,0.2,1.3,1.5,0.2,0.1,0.0,0.4,0.5,1.5,,George King,george-king-1,Pac-12,FR,G,27.0,0.0,148.0,8.0,0.411,0.513,0.59,41.0,4.1,28.1,16.3,6.7,1.6,0.7,19.4,21.4,-0.2,0.3,0.1,0.035,-4.9,0.9,-4.0,,George King,george-king-1,George King,george-king-1
2015-16,Colorado,Pac-12,SO,G,34.0,27.0,25.4,4.5,10.0,0.446,2.0,4.4,0.456,2.5,5.6,0.438,0.545,2.6,3.5,0.748,1.6,3.1,4.7,0.7,0.4,0.2,1.9,1.8,13.6,,George King,george-king-1,Pac-12,SO,G,34.0,27.0,862.0,18.8,0.58,0.437,0.349,403.0,6.9,12.6,9.8,5.9,0.9,0.9,13.7,25.5,2.1,1.1,3.2,0.146,5.1,0.7,5.8,,George King,george-king-1,George King,george-king-1
2016-17,Colorado,Pac-12,JR,G,34.0,31.0,27.7,4.1,8.9,0.46,1.4,3.7,0.376,2.7,5.2,0.52,0.538,1.6,2.3,0.671,2.0,4.8,6.8,0.7,0.5,0.2,1.7,2.1,11.1,,George King,george-king-1,Pac-12,JR,G,34.0,31.0,943.0,16.2,0.557,0.414,0.262,348.0,7.9,19.5,13.7,5.3,1.0,0.8,14.4,20.8,1.5,1.1,2.6,0.109,2.2,-0.4,1.8,,George King,george-king-1,George King,george-king-1
2017-18,Colorado,Pac-12,SR,G,32.0,31.0,28.5,4.4,10.0,0.445,1.9,4.9,0.395,2.5,5.1,0.494,0.542,2.1,2.7,0.782,1.8,6.1,7.8,1.1,0.5,0.7,2.0,2.4,12.9,,George King,george-king-1,Pac-12,SR,G,32.0,31.0,913.0,18.8,0.574,0.492,0.273,384.0,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,1.7,1.3,3.0,0.132,3.2,1.6,4.7,,George King,george-king-1,George King,george-king-1
